Ref,Val,Package,PosX,PosY,Rot,Side
"R8_16","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",216.592500,-66.550000,180.000000,bottom
"R8_17","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",216.592500,-117.050000,180.000000,bottom
"R8_18","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",216.592500,-167.550000,180.000000,bottom
"R8_19","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",241.562195,-91.625000,180.000000,bottom
"R8_20","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",241.562195,-142.125000,180.000000,bottom
"R9_1","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",53.662500,-71.070000,0.000000,bottom
"R9_2","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",53.662500,-121.570000,0.000000,bottom
"R9_3","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",53.662500,-172.070000,0.000000,bottom
"R9_4","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",78.617195,-96.077652,0.000000,bottom
"R9_5","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",78.617195,-146.577652,0.000000,bottom
"R9_6","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",104.162500,-71.070000,0.000000,bottom
"R9_7","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",104.162500,-121.570000,0.000000,bottom
"R9_8","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",104.162500,-172.070000,0.000000,bottom
"R9_9","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",129.132195,-96.145000,0.000000,bottom
"R9_10","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",129.132195,-146.645000,0.000000,bottom
"R9_11","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",154.662500,-71.070000,0.000000,bottom
"R9_12","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",154.662500,-121.570000,0.000000,bottom
"R9_13","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",154.662500,-172.070000,0.000000,bottom
"R9_14","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",179.617195,-96.077652,0.000000,bottom
"R9_15","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",179.617195,-146.577652,0.000000,bottom
"R9_16","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",205.162500,-71.070000,0.000000,bottom
